Time	Data

6	20.12148
7	19.72598
8	19.46126
9	19.32044
10	19.29036
11	19.35282
12	19.48608
13	19.66654
14	19.8705
15	20.07576
16	20.26308
17	20.41729
18	20.52802
19	20.59007
20	20.60325
21	20.57196
22	20.50433
23	20.41117
24	20.30479
25	20.19768
26	20.10143
27	20.02562
28	19.97711
29	19.95955
30	19.97321
31	20.01513
32	20.07962
33	20.15888
34	20.24389
35	20.32531
36	20.39441
37	20.44385
38	20.46842
39	20.46541
40	20.43483
41	20.37938
42	20.30409
43	20.21585
44	20.12273
45	20.03322
46	19.95545
47	19.89649
48	19.86171
49	19.85438
50	19.87538
51	19.92319
52	19.99411
53	20.08257
54	20.1817
55	20.28393
56	20.38161
57	20.46773
58	20.53639
59	20.58328
60	20.60597
61	20.60399
62	20.5788
63	20.5335
64	20.47254
65	20.40118
66	20.32505
67	20.24959
68	20.17962
69	20.11895
70	20.07009
71	20.0342
72	20.011
73	19.99901
74	19.99576
75	19.99812
76	20.00271
77	20.00629
78	20.0061
79	20.00015
80	19.98744
81	19.96807
82	19.94318
83	19.91485
84	19.8859
85	19.85958
86	19.83925
87	19.82809
88	19.82872
89	19.84302
90	19.8719
91	19.9152
92	19.97173
93	20.03929
94	20.11486
95	20.19486
96	20.27531
97	20.35222
98	20.42176
99	20.48054
100	20.5258
101	20.55552
102	20.56852
103	20.56444
104	20.54374
105	20.50757
106	20.45769
107	20.39632
108	20.32606
109	20.24972
110	20.17023
111	20.09059
112	20.01377
113	19.94267
114	19.88008
115	19.82864
116	19.79074
117	19.76852
118	19.76369
119	19.77752
120	19.81063
121	19.86295
122	19.93357
123	20.02068
124	20.12156
125	20.23258
126	20.34931
127	20.46669
128	20.57929
129	20.68155
130	20.76818
131	20.83449
132	20.87675
133	20.89249
134	20.88076
135	20.84229
136	20.77948
137	20.69639
138	20.59844
139	20.49215
140	20.38464
141	20.28319
142	20.19467
143	20.12503
144	20.07883
145	20.05887
146	20.06595
147	20.09877
148	20.15399
149	20.22653
150	20.30988
151	20.39668
152	20.47929
153	20.55042
154	20.60377
155	20.63453
156	20.63987
157	20.61917
158	20.57413
159	20.50868
160	20.42867
161	20.34145
162	20.25522
163	20.17844
164	20.11904
165	20.0838
166	20.07775
167	20.10368
168	20.16191
169	20.2502
170	20.36385
171	20.49608
172	20.63851
173	20.78185
174	20.91657
175	21.03371
176	21.12557
177	21.1863
178	21.21242
179	21.20308
180	21.16012
181	21.0879
182	20.99302
183	20.88372
184	20.76926
185	20.65919
186	20.56257
187	20.48729
188	20.43946
189	20.42296
190	20.43916
191	20.48686
192	20.56245
193	20.6602
194	20.77281
195	20.89197
196	21.00906
197	21.11584
198	21.20507
199	21.27104
200	21.30995
201	21.3202
202	21.30234
203	21.259
204	21.19454
205	21.11464
206	21.02578
207	20.93463
208	20.84755
209	20.77001
210	20.70623
211	20.65887
212	20.62892
213	20.61566
214	20.61688
215	20.62915
216	20.64818
217	20.6693
218	20.68787
219	20.69975
220	20.70165
221	20.69141
222	20.66814
223	20.63229
224	20.58553
225	20.53057
226	20.47089
227	20.41035
228	20.35288
229	20.30211
230	20.26104
231	20.23181
232	20.21557
233	20.2124
234	20.22137
235	20.2407
236	20.26793
237	20.30024
238	20.33471
239	20.3686
240	20.3996
241	20.42604
242	20.447
243	20.46237
244	20.47275
245	20.47942
246	20.48408
247	20.48868
248	20.49518
249	20.5053
250	20.52033
251	20.541
252	20.56737
253	20.59885
254	20.6342
255	20.67171
256	20.70934
257	20.74493
258	20.77641
259	20.80201
260	20.82042
261	20.83095
262	20.83353
263	20.82878
264	20.81788
265	20.80248
266	20.78455
267	20.76611
268	20.74909
269	20.73513
270	20.72538
271	20.7204
272	20.72012
273	20.72385
274	20.73029
275	20.73772
276	20.74417
277	20.74753
278	20.74587
279	20.73755
280	20.72142
281	20.69693
282	20.66422
283	20.6241
284	20.57801
285	20.52792
286	20.47618
287	20.42531
288	20.37785
289	20.33613
290	20.30213
291	20.27734
292	20.26264
293	20.25832
294	20.26404
295	20.27893
296	20.30166
297	20.3306
298	20.36396
299	20.3999
300	20.43672
301	20.47295
302	20.50737
303	20.53915
304	20.56774
305	20.59293
306	20.61471
307	20.63325
308	20.64877
309	20.66149
310	20.67152
311	20.67887
312	20.68339
313	20.68482
314	20.68281
315	20.67697
316	20.66701
317	20.65278
318	20.63435
319	20.61211
320	20.58678
321	20.55944
322	20.53149
323	20.5046
324	20.4806
325	20.4614
326	20.44884
327	20.44455
328	20.44984
329	20.46559
330	20.49217
331	20.52937
332	20.57646
333	20.63215
334	20.6947
335	20.76201
336	20.83173
337	20.90137
338	20.96848
339	21.03073
340	21.086
341	21.1325
342	21.16879
343	21.19383
344	21.20699
345	21.20798
346	21.1969
347	21.17416
348	21.14045
349	21.09675
350	21.04424
351	20.98437
352	20.91879
353	20.84941
354	20.77836
355	20.70799
356	20.64085
357	20.57966
358	20.52718
359	20.48617
360	20.45923
361	20.44865
362	20.45626
363	20.48328
364	20.53014
365	20.59639
366	20.68061
367	20.78043
368	20.89249
369	21.01266
370	21.13613
371	21.25767
372	21.37194
373	21.47377
374	21.55847
375	21.62216
376	21.66202
377	21.67648
378	21.66535
379	21.62987
380	21.57261
381	21.49733
382	21.40876
383	21.31226
384	21.21345
385	21.11789
386	21.03064
387	20.95599
388	20.89715
389	20.85609
390	20.83344
391	20.8285
392	20.83936
393	20.86312
394	20.89616
395	20.93446
396	20.97398
397	21.01098
398	21.04232
399	21.06572
400	21.07994
401	21.08479
402	21.08114
403	21.07081
404	21.0563
405	21.04057
406	21.0267
407	21.0176
408	21.01569
409	21.02265
410	21.03923
411	21.06518
412	21.09922
413	21.13912
414	21.18193
415	21.22418
416	21.26218
417	21.29239
418	21.31168
419	21.31763
420	21.30879
421	21.28477
422	21.24634
423	21.19539
424	21.13477
425	21.06813
426	20.9996
427	20.93349
428	20.87401
429	20.82487
430	20.7891
431	20.76876
432	20.76485
433	20.77727
434	20.80481
435	20.84533
436	20.89593
437	20.95316
438	21.01338
439	21.07296
440	21.1286
441	21.17751
442	21.21765
443	21.24775
444	21.26741
445	21.27703
446	21.27769
447	21.27103
448	21.25905
449	21.24389
450	21.22764
451	21.21217
452	21.19899
453	21.18914
454	21.18317
455	21.18113
456	21.18268
457	21.18714
458	21.19365
459	21.20127
460	21.20917
461	21.21666
462	21.22334
463	21.22911
464	21.23417
465	21.23897
466	21.24417
467	21.25051
468	21.25869
469	21.26929
470	21.28269
471	21.29894
472	21.31781
473	21.33875
474	21.36098
475	21.38354
476	21.40544
477	21.42581
478	21.44399
479	21.4597
480	21.47311
481	21.48488
482	21.49618
483	21.50865
484	21.52424
485	21.54513
486	21.57346
487	21.61118
488	21.65979
489	21.72019
490	21.79247
491	21.87585
492	21.9686
493	22.0681
494	22.17094
495	22.27309
496	22.37014
497	22.45761
498	22.5312
499	22.58715
500	22.62248
501	22.63524
502	22.62466
503	22.59126
504	22.53685
505	22.46438
506	22.37784
507	22.28197
508	22.18194
509	22.08305
510	21.99035
511	21.90835
512	21.84068
513	21.78993
514	21.75744
515	21.74331
516	21.74638
517	21.76437
518	21.79409
519	21.83166
520	21.87288
521	21.91345
522	21.94936
523	21.97711
524	21.99399
525	21.99819
526	21.9889
527	21.96637
528	21.93176
529	21.88707
530	21.8349
531	21.77824
532	21.72024
533	21.66392
534	21.61198
535	21.56658
536	21.52923
537	21.50069
538	21.48097
539	21.46939
540	21.46465
541	21.46502
542	21.46849
543	21.47296
544	21.47647
545	21.47735
546	21.47436
547	21.46679
548	21.45454
549	21.43807
550	21.4184
551	21.39698
552	21.37555
553	21.35602
554	21.34027
555	21.32998
556	21.32652
557	21.33077
558	21.34311
559	21.36332
560	21.39062
561	21.4237
562	21.46084
563	21.50002
564	21.53906
565	21.57579
566	21.6082
567	21.6346
568	21.6537
569	21.66475
570	21.66754
571	21.66245
572	21.65038
573	21.63268
574	21.61106
575	21.58747
576	21.56392
577	21.54235
578	21.52451
579	21.5118
580	21.50521
581	21.50522
582	21.5118
583	21.52441
584	21.54204
585	21.56333
586	21.58659
587	21.61003
588	21.6318
589	21.65019
590	21.66373
591	21.67127
592	21.6721
593	21.66599
594	21.65318
595	21.6344
596	21.61081
597	21.5839
598	21.55543
599	21.52731
600	21.50144
601	21.47967
602	21.46361
603	21.45461
604	21.45363
605	21.46123
606	21.47753
607	21.50221
608	21.53456
609	21.57351
610	21.61769
611	21.66551
612	21.71526
613	21.76514
614	21.81341
615	21.85838
616	21.89854
617	21.93255
618	21.95932
619	21.97802
620	21.98809
621	21.98924
622	21.9815
623	21.96514
624	21.94073
625	21.90909
626	21.87129
627	21.82862
628	21.78255
629	21.73473
630	21.6869
631	21.64086
632	21.5984
633	21.5612
634	21.53078
635	21.50839
636	21.49493
637	21.49091
638	21.49632
639	21.51068
640	21.53294
641	21.56159
642	21.59465
643	21.62978
644	21.66441
645	21.69588
646	21.7216
647	21.73923
648	21.74683
649	21.74306
650	21.72724
651	21.69948
652	21.6607
653	21.61263
654	21.55772
655	21.49901
656	21.43999
657	21.38437
658	21.33584
659	21.29785
660	21.27337
661	21.26465
662	21.27313
663	21.29925
664	21.34245
665	21.40116
666	21.47291
667	21.55445
668	21.64198
669	21.73135
670	21.81835
671	21.89895
672	21.96955
673	22.0272
674	22.06975
675	22.09596
676	22.10553
677	22.09908
678	22.07809
679	22.04469
680	22.00156
681	21.95166
682	21.89803
683	21.84363
684	21.7911
685	21.74265
686	21.69995
687	21.6641
688	21.63561
689	21.6145
690	21.60034
691	21.59237
692	21.58967
693	21.59127
694	21.59623
695	21.60381
696	21.61345
697	21.62482
698	21.63785
699	21.65261
700	21.66929
701	21.68808
702	21.70911
703	21.73233
704	21.75747
705	21.78399
706	21.81105
707	21.8376
708	21.86239
709	21.88405
710	21.90128
711	21.91287
712	21.9179
713	21.91579
714	21.90639
715	21.89005
716	21.86758
717	21.84022
718	21.80957
719	21.7775
720	21.74596
721	21.71689
722	21.69205
723	21.6729
724	21.66049
725	21.65543
726	21.65782
727	21.66731
728	21.68314
729	21.70424
730	21.72935
731	21.75715
732	21.78635
733	21.81585
734	21.8448
735	21.87264
736	21.89911
737	21.92423
738	21.94824
739	21.97149
740	21.99435
741	22.01709
742	22.03978
743	22.06225
744	22.08403
745	22.10433
746	22.12214
747	22.13632
748	22.14567
749	22.14912
750	22.1459
751	22.13561
752	22.11842
753	22.09507
754	22.06693
755	22.03594
756	22.00448
757	21.97524
758	21.951
759	21.93436
760	21.92754
761	21.9321
762	21.94877
763	21.97733
764	22.01651
765	22.06405
766	22.11678
767	22.17086
768	22.22205
769	22.26597
770	22.29855
771	22.31629
772	22.31661
773	22.2981
774	22.2607
775	22.20574
776	22.1359
777	22.05509
778	21.96811
779	21.88039
780	21.79756
781	21.72501
782	21.66752
783	21.62886
784	21.61153
785	21.61655
786	21.6434
787	21.69007
788	21.75323
789	21.82851
790	21.91086
791	21.99494
792	22.07555
793	22.14805
794	22.20867
795	22.25479
796	22.28511
797	22.29963
798	22.29965
799	22.2875
800	22.26634
801	22.23974
802	22.21139
803	22.18467
804	22.16239
805	22.14651
806	22.13799
807	22.13675
808	22.14172
809	22.15101
810	22.16217
811	22.17248
812	22.17928
813	22.18029
814	22.17393
815	22.15948
816	22.13723
817	22.10849
818	22.07548
819	22.04114
820	22.00889
821	21.98223
822	21.96446
823	21.95831
824	21.96566
825	21.98733
826	22.02297
827	22.07111
828	22.12921
829	22.19394
830	22.26148
831	22.32788
832	22.38944
833	22.44306
834	22.48658
835	22.51894
836	22.54033
837	22.55212
838	22.55675
839	22.55744
840	22.55782
841	22.56156
842	22.57191
843	22.59132
844	22.62112
845	22.66127
846	22.71034
847	22.76548
848	22.82273
849	22.87727
850	22.92392
851	22.95764
852	22.97404
853	22.96991
854	22.94358
855	22.89525
856	22.82706
857	22.7431
858	22.64911
859	22.55213
860	22.4599
861	22.38029
862	22.32056
863	22.28676
864	22.28315
865	22.31176
866	22.37213
867	22.46128
868	22.57386
869	22.70254
870	22.83859
871	22.97252
872	23.0949
873	23.1971
874	23.27205
875	23.31483
876	23.32306
877	23.29715
878	23.24026
879	23.158
880	23.05802
881	22.94927
882	22.84131
883	22.74345
884	22.66393
885	22.60928
886	22.58374
887	22.58893
888	22.62378
889	22.68462
890	22.76563
891	22.85936
892	22.95746
893	23.05152
894	23.1338
895	23.19799
896	23.23978
897	23.25728
